"PROVMUN","whichMax","Max","pcMax"
"18018","PP",354,52.6002971768202
"18020","PSOE",635,42.4465240641711
"18021","ABS",5902,37.0984977057012
"18022","ABS",4939,40.1153346328785
"18023","PSOE",5293,32.6768736881096
"18024","PSOE",310,35.0282485875706
"18025","PSOE",189,57.9754601226994
"18027","PSOE",922,35.6122054847431
"18028","PP",442,44.2442442442442
"18029","PSOE",611,31.7567567567568
"18030","PSOE",311,48.2919254658385
"18032","PP",132,48.1751824817518
"18033","PP",152,52.233676975945
"18034","PSOE",170,31.8352059925094
"18035","PP",596,44.7111777944486
"18036","PP",1379,39.2318634423898
"18037","PSOE",229,46.4503042596349
"18038","PP",300,27.5482093663912
"18039","PSOE",1376,36.5180467091295
"18040","PSOE",110,42.6356589147287
"18042","PSOE",160,36.117381489842
"18043","PP",68,39.3063583815029
"18044","PSOE",118,52.4444444444444
"18045","PP",451,35.4003139717425
"18046","PSOE",616,31.0327455919395
"18047","ABS",2525,45.1053947838514
"18048","PSOE",825,36.3276089828269
"18049","PP",389,61.0675039246468
"18050","PP",636,37.9701492537313
"18051","PSOE",587,48.3924154987634
"18053","OTH",488,26.3214670981661
"18054","PP",486,54.8532731376975
"18056","PP",1312,35.1271753681392
"18057","ABS",1905,37.8727634194831
"18059","PSOE",1166,28.8257107540173
"18061","PP",349,31.0498220640569
"18062","ABS",3292,35.0847276990302
"18063","PP",426,35.8585858585859
"18064","PP",219,51.1682242990654
"18066","ABS",611,29.4599807135969
"18067","PP",349,49.0168539325843
"18068","PP",672,46.2173314993122
"18069","PSOE",196,38.0582524271845
"18070","PP",135,46.875
"18071","PSOE",1585,28.0134323082361
"18072","PSOE",323,45.3015427769986
"18074","PSOE",183,61.2040133779264
"18076","PSOE",343,38.8448471121178
"18078","PSOE",381,43.5428571428571
"18079","PSOE",1301,37.2672586651389
"18082","PP",366,39.144385026738
"18083","PSOE",139,46.0264900662252
"18084","PP",1447,36.577350859454
"18085","PSOE",343,41.626213592233
"18086","PSOE",160,38.6473429951691
"18087","ABS",71299,37.929640328338
"18088","PSOE",616,38.380062305296
"18089","PP",5748,36.3314581884837
"18093","PP",1014,35.8303886925795
"18094","PP",1233,50.9083402146986
"18095","PSOE",485,25.4994742376446
"18096","PSOE",150,43.2276657060519
"18097","PSOE",409,39.5169082125604
"18098","PSOE",2287,35.211701308699
"18099","PP",589,37.951030927835
"18100","PSOE",3309,45.4907891119054
"18101","PP",3539,39.2829392829393
"18102","ABS",2498,28.9656771799629
"18103","PSOE",478,57.3141486810552
"18105","PSOE",1500,28.5442435775452
"18107","PP",358,36.1981799797775
"18108","PP",478,52.8176795580111
"18109","PSOE",425,59.9435825105783
"18111","PSOE",862,33.2049306625578
"18112","PP",98,65.7718120805369
"18114","PSOE",248,35.2773826458037
"18115","PSOE",698,29.180602006689
"18116","PP",1089,35.3916152096198
"18117","PSOE",230,42.2018348623853
"18119","PSOE",830,46.0599334073252
"18120","PSOE",127,44.5614035087719
"18121","PSOE",76,54.6762589928058
"18122","ABS",5184,31.7997791682002
"18123","PP",161,51.6025641025641
"18124","PP",161,40.0497512437811
"18126","PSOE",408,27.8879015721121
"18127","ABS",5933,37.5102737560852
"18128","PP",232,66.6666666666667
"18132","PSOE",1493,42.9393155018694
"18133","PP",1151,44.3887389124566
"18134","ABS",2175,39.2103839913467
"18135","PSOE",1975,41.2231266958881
"18136","PSOE",789,39.5687061183551
"18137","PP",491,44.7584320875114
"18138","ABS",941,37.9129734085415
"18140","ABS",16214,37.4215288035451
"18141","PP",275,53.2945736434108
"18143","PSOE",530,54.4147843942505
"18144","ABS",215,27.7777777777778
"18145","ABS",3422,34.0260515064134
"18146","OTH",480,44.0366972477064
"18147","ABS",1492,37.0039682539683
"18148","PP",467,49.2096944151739
"18149","PP",2068,40.9910802775025
"18150","PSOE",2266,35.450563204005
"18151","PSOE",189,65.8536585365854
"18152","PSOE",495,47.1877979027645
"18153","ABS",2899,34.8102785782901
"18154","PP",455,42.5631431244153
"18157","PP",426,39.8876404494382
"18158","PSOE",3935,37.8984879129346
"18159","OTH",440,41.2371134020619
"18161","PP",109,48.8789237668161
"18162","PP",362,32.7601809954751
"18163","PP",215,63.6094674556213
"18164","PP",660,35.1624933404369
"18165","ABS",1457,37.1968343119734
"18167","OTH",910,46.8347915594442
"18168","PP",279,32.0689655172414
"18170","PSOE",236,54.7563805104408
"18171","PSOE",848,40.3425309229305
"18173","ABS",3017,32.9726775956284
"18174","PSOE",249,51.875
"18175","ABS",3651,31.5639318751621
"18176","PSOE",180,65.4545454545455
"18177","PSOE",225,47.2689075630252
"18178","PSOE",352,42.1052631578947
"18179","PSOE",275,45.6053067993366
"18180","OTH",251,37.4626865671642
"18181","PP",162,59.5588235294118
"18182","PP",804,39.5864106351551
"18183","PSOE",405,56.7226890756302
"18184","PP",791,35.6949458483755
"18185","PSOE",254,41.3008130081301
"18187","PSOE",251,42.5423728813559
"18188","PSOE",859,51.5296940611878
"18189","OTH",290,40.6732117812062
"18192","PP",570,35.6695869837297
"18193","ABS",5376,39.1922432018663
"18194","PSOE",819,35.905304690925
"18901","PP",207,32.1928460342146
"18902","PSOE",507,51.840490797546
"18903","PSOE",396,40.2848423194303
"18904","PSOE",374,40.8743169398907
"18905","ABS",5158,40.0496932991692
"18906","PP",426,43.7821171634121
"18907","PSOE",925,45.679012345679
"18908","PSOE",342,41.1057692307692
"18909","PP",313,46.7164179104478
"18910","PP",353,41.5783274440518
"18911","ABS",2452,36.6243465272591
"18912","PSOE",630,39.5232120451694
"18913","PP",380,45.1306413301663
"21001","PSOE",286,44.6875
"21002","PP",5115,35.5677630206523
"21003","PSOE",383,54.5584045584046
"21004","PSOE",748,49.3729372937294
"21005","PSOE",4886,30.9809143364403
"21006","PSOE",1070,30.0730747611017
"21007","ABS",2183,35.8162428219852
"21008","PSOE",1291,47.779422649889
"21009","PSOE",240,26.1437908496732
"21010","ABS",5578,38.2736379854535
"21011","PSOE",1324,37.3800112930548
"21012","PSOE",124,37.5757575757576
"21013","OTH",3373,31.4733600821125
"21014","PSOE",1529,37.1026449890803
